Gene A	Gene B	Probability	True interactions	Common neighbors	Num of neighbors A	Num of neighbors B
YOR123C	YOR344C	0.83873	1	52	468	212
YLL004W	YBR118W	0.83848	0	28	246	333
YPR045C	YKL053C-A	0.83816	0	47	325	397
YNL219C	YPR181C	0.83807	0	30	281	504
YPR094W	YJL072C	0.838	0	19	224	195
YGR174C	YDR164C	0.8371	0	47	275	304
YNL097C	YDL173W	0.83647	0	30	836	105
YPL148C	YOR020C	0.83616	0	40	222	499
YML103C	YGR251W	0.83543	0	84	586	307
YHR013C	YFL009W	0.83527	0	64	328	598
YPR057W	YPL084W	0.83496	0	54	507	302
YOL023W	YLR027C	0.83483	0	18	284	198
YDL101C	YDR382W	0.8343	0	42	481	372
YEL032W	YKR092C	0.83418	0	39	391	241
YNL273W	YDR162C	0.83387	0	86	311	701
YOL067C	YNL221C	0.83365	0	54	458	330
YOL006C	YGR250C	0.83335	0	28	623	96
YDR484W	YMR299C	0.83323	0	52	420	286
YCR071C	YOR116C	0.83315	0	32	372	268
YOL002C	YJL014W	0.83294	0	16	303	260
YKR083C	YDL035C	0.83273	0	36	215	675
YKL027W	YOR068C	0.83236	0	25	160	301
YCL029C	YOR048C	0.83231	0	35	235	488
YJL062W	YGL081W	0.8318	0	32	381	149
YPR133C	YHL025W	0.83167	1	82	425	506
YMR035W	YHR077C	0.83144	0	38	299	329
YML028W	YOL034W	0.83114	1	61	584	210
YML028W	YOL034W	0.83114	0	61	584	210
YBR234C	YLL011W	0.83101	0	21	170	184
YFR024C-A	YDR288W	0.83078	0	22	220	414
YDR075W	YGR195W	0.83038	0	28	361	273
YER093C	YMR016C	0.83036	0	40	626	242
YNL172W	YIL115C	0.83031	0	41	501	237
YKL157W	YOL044W	0.83021	0	22	152	200
YPL231W	YKL204W	0.8299	0	49	373	365
YBR089C-A	YLR103C	0.82968	0	30	154	268
YDL130W	YKL144C	0.8296	0	37	213	463
YGR135W	YFL031W	0.82949	0	93	518	403
YDR288W	YLR154C-H	0.82932	0	36	414	127
YER110C	YPL007C	0.82931	0	18	340	175
YDR172W	YGR047C	0.82916	0	48	859	132
YCL061C	YOR360C	0.82906	0	102	447	624
YFL024C	YOR046C	0.82893	0	43	200	327
YIL153W	YMR275C	0.82886	0	30	272	230
YKR016W	YPL028W	0.82885	0	30	372	255
YMR312W	YFR031C-A	0.82861	0	74	455	345
YHL031C	YMR227C	0.8283	0	36	488	187
YIL150C	YPR110C	0.82823	0	27	358	213
YJR125C	YEL018W	0.8279	0	32	261	344
YOR293W	YOL038W	0.82763	0	37	329	273
YBR010W	YAL011W	0.82712	0	206	799	579
YHR051W	YJR070C	0.82705	0	24	419	241
YDR233C	YMR293C	0.8269	0	20	173	311
YJL102W	YBR009C	0.82687	0	43	292	695
YNL199C	YIL131C	0.82653	0	28	363	129
YGL084C	YER120W	0.82648	0	83	496	333
YHR040W	YOR295W	0.82615	0	33	201	167
YBR167C	YKR046C	0.82558	0	27	465	135
YIR006C	YMR304W	0.82549	0	45	644	202
YLR009W	YDL065C	0.82495	0	38	313	379
YHR083W	YFR004W	0.82492	0	47	94	1169
YJL154C	YJL039C	0.82491	0	54	426	317
YJR099W	YML024W	0.8249	0	13	120	116
YPR046W	YOR068C	0.82485	0	23	225	301
YDL209C	YNL245C	0.82473	1	39	107	389
YJL165C	YDR075W	0.82456	0	36	205	361
YHL025W	YLR370C	0.82404	0	73	506	370
YFL003C	YGR231C	0.82402	0	41	275	509
YNL269W	YGL027C	0.82351	0	13	137	200
YDR181C	YER111C	0.82336	0	67	162	647
YLR075W	YOL127W	0.82335	0	56	384	94
YML069W	YDR079C-A	0.82274	0	60	686	212
YMR290C	YCL005W-A	0.82273	0	39	319	446
YBL031W	YLR015W	0.82229	0	54	300	470
YDL074C	YKL121W	0.82204	0	39	785	128
YOL090W	YLR383W	0.822	0	36	316	198
YNL199C	YDL001W	0.8218	0	39	363	151
YDL042C	YNL252C	0.82171	0	55	361	498
YJR064W	YHR079C	0.82141	0	37	212	471
YBR111C	YML008C	0.82137	0	42	153	602
YOR117W	YJR097W	0.82133	0	37	623	130
YDR155C	YDR138W	0.82123	0	11	157	141
YNL107W	YPL139C	0.82115	0	101	435	270
YDR197W	YNL061W	0.82078	0	32	141	772
YNR016C	YGL073W	0.82073	1	49	271	407
YMR022W	YDR478W	0.8205	0	30	247	463
YPR094W	YNL288W	0.82021	0	27	224	217
YHR186C	YFL001W	0.82015	0	63	319	403
YGR140W	YMR025W	0.81997	0	22	336	146
YBR254C	YLR404W	0.81966	0	61	549	264
YGR009C	YLL049W	0.81935	0	49	193	450
YKL154W	YLR027C	0.8185	0	20	423	198
YDL102W	YKL081W	0.81811	0	86	667	342
YOR205C	YAL019W	0.81794	0	31	448	195
YOR089C	YDL148C	0.8179	0	50	580	313
YOR206W	YLR075W	0.81781	1	44	135	384
YDR395W	YOL145C	0.81749	0	24	167	188
YBR194W	YLR457C	0.81712	0	20	543	89
YJL165C	YGR229C	0.81707	1	49	205	551
YDL134C	YAL020C	0.81693	0	21	221	141
YDR512C	YJR121W	0.81691	0	35	245	193
YIL026C	YGL123W	0.81652	0	28	91	348
YBR126C	YMR275C	0.81626	0	40	467	230
YOR168W	YGL148W	0.81612	0	33	255	280
YLR272C	YGR253C	0.81591	0	29	233	170
YMR077C	YCR086W	0.81587	0	37	161	461
YLR096W	YOL076W	0.81564	0	13	199	172
YER111C	YMR154C	0.81554	0	119	647	383
YOR246C	YOL052C	0.81443	0	20	174	303
YOR020C	YAL025C	0.8138	0	59	499	324
YGR174C	YLR056W	0.81287	1	85	275	749
YLR350W	YKR027W	0.81283	0	47	546	180
YPR082C	YGL065C	0.8125	0	15	147	230
YOR233W	YHR066W	0.81236	0	29	287	299
YMR021C	YML023C	0.81229	0	50	270	444
YNR018W	YPL008W	0.81193	0	24	134	481
YCL044C	YDR382W	0.81188	0	40	343	372
YER091C	YGL115W	0.81154	1	42	143	660
YLR397C	YDR283C	0.81151	0	24	314	228
YPR181C	YHR099W	0.81148	0	51	504	258
YML067C	YNL037C	0.81146	0	17	157	254
YBR227C	YNL209W	0.81146	0	46	120	2061
YLR298C	YDR324C	0.8111	0	50	759	211
YBL084C	YNL135C	0.81065	0	45	401	304
YHR079C	YLR292C	0.80998	0	85	471	254
YHR079C	YLR292C	0.80998	1	85	471	254
YBR055C	YBR215W	0.80975	0	36	369	312
YPL093W	YML066C	0.80954	0	18	339	217
YOL005C	YHR196W	0.80937	0	49	383	334
YHR101C	YHR001W	0.80916	0	20	271	111
YDL248W	YJR035W	0.80904	0	9	320	148
YDL248W	YFL022C	0.80903	0	23	320	102
YGR006W	YLL014W	0.809	0	37	420	167
YOL149W	YGR009C	0.80892	0	52	386	193
YHR058C	YIL079C	0.80882	0	26	649	147
YOR080W	YGL036W	0.80881	0	35	666	185
YLR095C	YDR369C	0.80841	0	24	105	359
YPR061C	YDR381W	0.80839	0	22	177	469
YBL061C	YLL040C	0.80835	0	43	223	345
YGR200C	YPL262W	0.80751	0	81	517	423
YDR341C	YNL147W	0.80689	1	33	86	776
YNL270C	YNL041C	0.8064	0	13	63	524
YAL033W	YLR078C	0.8061	0	46	128	679
YJR126C	YBR275C	0.80592	0	6	63	113
YBL016W	YIL006W	0.80588	0	25	415	136
YPL016W	YER147C	0.80577	0	36	309	330
YJL204C	YJL104W	0.8056	0	26	214	438
YDR523C	YGR140W	0.80546	0	10	103	336
YGL141W	YNL153C	0.80529	0	31	76	822
YJR013W	YPR024W	0.8051	0	37	164	742
YBR057C	YPL076W	0.80506	0	61	324	597
YJR011C	YJR112W	0.80473	0	22	335	252
YKR038C	YHR167W	0.80458	0	16	113	398
YNL032W	YMR237W	0.80457	0	28	440	124
YGR215W	YBL105C	0.80437	0	30	98	1081
YDR060W	YNR049C	0.80437	0	27	438	135
YOR293W	YGL133W	0.80417	0	29	329	264
YOR201C	YIL022W	0.80372	0	9	155	85
YOL095C	YCR086W	0.80367	0	31	310	461
YJR140C	YOL090W	0.80353	0	62	355	316
YGL190C	YMR079W	0.80349	0	47	370	257
YNL006W	YOR321W	0.80344	0	28	727	147
YMR201C	YOR242C	0.80332	0	21	385	168
YPL051W	YGR206W	0.80332	0	59	421	155
YML072C	YER127W	0.80317	0	19	339	179
YPL120W	YMR275C	0.80311	0	51	482	230
YOL113W	YDR017C	0.80263	0	18	132	280
YMR301C	YDL107W	0.80259	0	11	98	149
YLL035W	YER061C	0.80236	0	37	204	493
YGL211W	YDL082W	0.80214	0	51	310	324
YOL066C	YNL242W	0.80211	0	13	171	179
YNR007C	YBR029C	0.80191	0	22	318	239
YNL280C	YER171W	0.80173	0	37	352	186
YPL180W	YJR143C	0.80173	0	9	198	140
YIL107C	YLR115W	0.80122	0	37	173	522
YGL025C	YMR277W	0.80118	0	53	186	583
YGL043W	YLR021W	0.80102	0	68	584	270
YOL077C	YKR035W-A	0.80097	0	22	268	261
YLR288C	YOR068C	0.8007	0	25	164	301
YNL216W	YDR236C	0.80045	0	44	688	206
YNL232W	YCR054C	0.79976	0	25	438	81
YBR221C	YAR002W	0.79945	0	38	357	376
YGR063C	YDL220C	0.79903	0	77	241	778
YIR010W	YDR236C	0.79892	0	41	644	206
YOR014W	YER118C	0.79858	1	52	439	280
YPL122C	YOL149W	0.79831	0	41	161	386
YJL165C	YJR065C	0.79824	0	43	205	791
YPR085C	YLR153C	0.79806	0	56	545	331
YOL084W	YDL090C	0.79778	0	6	85	240
YDR182W	YDR204W	0.79765	0	43	961	117
YFR008W	YJR059W	0.79723	1	47	188	703
YHR156C	YFL029C	0.79708	0	12	113	246
YFR003C	YHR166C	0.79632	0	45	159	500
YBL056W	YMR060C	0.79606	0	16	145	319
YEL032W	YLR226W	0.79595	0	17	391	60
YOL126C	YMR215W	0.79564	0	25	166	198
YBR101C	YPL022W	0.79555	0	15	99	479
YLL015W	YDR052C	0.79541	0	26	119	813
YOR132W	YKL053C-A	0.79492	0	52	492	397
YGR057C	YLR243W	0.79449	0	27	159	191
YCR003W	YCL001W-B	0.79439	0	9	176	104
YOR360C	YPR074C	0.79438	0	39	624	207
YIL134C-A	YGL241W	0.79425	0	14	72	106
YNL271C	YLR227C	0.79409	0	22	443	181
YBR010W	YBR065C	0.79398	0	35	799	173
YOR223W	YJL183W	0.79342	0	15	68	612
YGL153W	YDR389W	0.79334	0	25	205	497
YOL002C	YHR012W	0.79332	0	32	303	395
YDL047W	YGL107C	0.79301	0	11	184	223
YDR227W	YGL255W	0.79271	0	10	114	181
YKR084C	YPR042C	0.79266	0	42	146	1157
YDR393W	YLR060W	0.7926	0	20	287	228
YJL203W	YPR074C	0.79259	0	26	327	207
YJL030W	YGR240C	0.79212	0	36	380	254
YPL109C	YPR036W	0.79209	0	13	186	421
YBL015W	YJR101W	0.79209	0	6	143	131
YGR009C	YER162C	0.79208	0	33	193	431
YGL136C	YDR012W	0.79183	0	33	549	206
YHR062C	YOR181W	0.79179	0	61	197	737
YDL122W	YBR055C	0.79166	0	25	195	369
YGR016W	YLR310C	0.79164	0	15	125	493
YLR005W	YML030W	0.79146	0	52	465	313
YNL047C	YLR267W	0.79142	0	14	155	91
YNL121C	YMR256C	0.79131	1	26	281	310
YLR083C	YMR010W	0.79096	1	10	81	122
YIL097W	YJL183W	0.79065	0	62	265	612
YKR081C	YIL016W	0.79053	0	54	440	198
YNL064C	YGR209C	0.78969	0	52	890	163
YPL084W	YIR008C	0.78956	1	33	302	317
YGR229C	YMR135C	0.78914	0	33	551	136
YOR191W	YKL032C	0.78878	0	51	191	563
YDL058W	YNR017W	0.78841	0	30	306	347
YMR052W	YER086W	0.78836	0	15	255	239
YLR452C	YGL235W	0.78822	0	37	412	370
YOR213C	YCL061C	0.78806	0	37	83	447
YFR053C	YFL016C	0.788	0	4	90	67
YIL027C	YDR479C	0.78783	0	19	186	161
YPL241C	YBL088C	0.78734	0	15	259	171
YPL085W	YGL190C	0.78726	0	55	319	370
YNL243W	YDL080C	0.78724	0	29	910	108
YDL130W	YPL060W	0.78722	0	12	213	137
YMR264W	YCL010C	0.78721	0	38	173	557
YMR033W	YFR019W	0.78716	0	53	325	383
YMR094W	YPL204W	0.78716	0	43	193	584
YGR038W	YGR135W	0.78696	0	27	130	518
YPR105C	YER142C	0.78691	0	26	582	113
YHR040W	YML046W	0.78665	0	14	201	117
YFR009W	YDL138W	0.7866	0	23	337	181
YBL052C	YPL128C	0.78637	0	26	190	295
YCR046C	YCR071C	0.78613	1	45	267	372
YGR090W	YLR009W	0.78536	0	30	145	313
YGR033C	YDL008W	0.78501	0	21	170	671
YBR057C	YGL123W	0.78466	0	47	324	348
YNL149C	YPR048W	0.78423	0	16	240	143
YJL128C	YPL231W	0.78418	0	73	493	373
YNL154C	YDR392W	0.78337	0	60	459	498
YDR359C	YOR232W	0.78323	0	52	474	338
YAL033W	YDR527W	0.78263	0	22	128	191
YDL084W	YPR042C	0.78259	0	65	226	1157
YHR177W	YDL215C	0.78234	0	12	362	142
YGR188C	YOL052C	0.78155	0	80	716	303
YIL147C	YLR190W	0.78152	0	39	165	391
YGR229C	YBR101C	0.78121	0	25	551	99
YPL124W	YDR128W	0.78106	0	18	195	311
YMR273C	YCR052W	0.78084	0	33	185	397
YLR243W	YPL231W	0.78076	0	34	191	373
YOR073W	YLR119W	0.78072	0	43	125	596
YNL094W	YPR024W	0.78014	0	38	115	742
YFR024C-A	YKL002W	0.77989	0	13	220	221
YLR421C	YJL104W	0.77937	0	26	102	438
YGL071W	YLR026C	0.77925	0	47	306	488
YGR056W	YLR150W	0.77921	0	38	279	356
YDR044W	YDR320C	0.77895	0	40	226	380
YDR320C	YKL109W	0.77873	0	38	380	280
YDR524C-B	YDR307W	0.77839	0	19	137	120
YOR368W	YLR314C	0.77795	0	44	221	774
YNL071W	YDR400W	0.77791	0	11	327	61
YDR440W	YPL036W	0.77773	0	21	299	369
YBL085W	YGL061C	0.77741	0	25	149	430
YBR009C	YDR148C	0.7771	0	59	695	352
YOR061W	YNR053C	0.77699	0	41	387	397
YIR009W	YBR088C	0.77698	0	25	77	448
YNL052W	YPL144W	0.77667	0	29	199	328
YBL021C	YIR006C	0.77654	0	76	374	644
YGR185C	YLL045C	0.77638	0	27	218	338
YNL110C	YJR107W	0.77633	0	6	223	72
YKL009W	YBR110W	0.77622	0	53	455	359
YDL043C	YIL038C	0.77615	0	30	312	246
YPL039W	YKR020W	0.77603	1	43	285	538
YNR024W	YOR206W	0.77601	0	8	92	135
YJL013C	YHR027C	0.77599	0	31	147	691
YOR278W	YDL248W	0.77593	0	13	112	320
YLR078C	YBR179C	0.77575	0	22	679	137
YGR078C	YJL210W	0.7756	0	25	637	125
YNL248C	YOR198C	0.7753	0	129	481	1337
YNL248C	YOR198C	0.7753	1	129	481	1337
YBR126C	YDR233C	0.77521	0	27	467	173
YHR205W	YAL043C	0.77518	0	45	686	162
YML014W	YOL006C	0.77502	0	27	112	623
YNL290W	YDL182W	0.77465	0	14	95	137
YJL190C	YHR167W	0.77465	0	25	105	398
YHR193C	YOR244W	0.77441	0	87	282	923
YBL089W	YML103C	0.77379	0	36	185	586
YDR404C	YDR361C	0.77372	0	27	352	147
YHR107C	YML112W	0.77339	0	58	787	320
YJL085W	YNL242W	0.77326	0	40	520	179
YOR196C	YER048C	0.77321	0	52	425	283
YNL219C	YNL141W	0.77317	0	32	281	377
YOR017W	YDL028C	0.77292	0	43	190	617
YOR010C	YDL100C	0.77278	0	14	57	452
YPL115C	YDR173C	0.77253	0	5	187	43
YDR497C	YOL081W	0.77213	0	37	120	978
YOR141C	YMR165C	0.77181	0	73	489	211
YDR311W	YOR340C	0.77143	0	40	699	140
YKR026C	YLR200W	0.77119	0	46	170	726
YJR143C	YDL103C	0.77065	0	26	140	417
YNL169C	YGL059W	0.7705	0	13	473	141
YJL124C	YBR033W	0.77045	0	41	1037	113
YDR147W	YBR147W	0.77042	0	4	108	158
YJL115W	YIL118W	0.77001	0	61	634	238
YDR469W	YDR073W	0.77001	0	37	494	149
YDR432W	YJR007W	0.76991	0	91	1122	284
YDR050C	YEL050C	0.76943	0	24	124	487
YJL074C	YHR082C	0.76936	0	61	482	459
YER168C	YGR048W	0.76932	0	21	260	170
YDL028C	YGR184C	0.76926	0	55	617	226
YAL043C	YLR103C	0.76897	0	26	162	268
YLR138W	YHR023W	0.76871	0	6	102	217
YCR090C	YHR196W	0.76848	0	38	253	334
YCL032W	YKR092C	0.76806	0	51	727	241
YDL111C	YBR170C	0.76795	0	11	202	249
YJL125C	YBR164C	0.76773	0	41	293	413
YGL163C	YCR082W	0.76753	0	11	297	81
YKL021C	YLR166C	0.76723	0	37	538	205
YNL164C	YOL064C	0.76723	0	28	95	384
YPR160W	YGL215W	0.76717	0	29	274	228
YKR062W	YBL071W-A	0.76714	0	21	195	143
YML041C	YBR130C	0.76673	0	42	714	102
YPL031C	YAL012W	0.76665	0	36	631	213
YPR122W	YJR118C	0.76642	0	32	190	679
YDR381W	YDR308C	0.76636	0	39	469	158
YNL185C	YJL034W	0.76632	0	32	157	634
YJR141W	YLL008W	0.76613	0	22	327	186
YLR323C	YPL081W	0.76593	0	18	327	156
YDL135C	YPL174C	0.76593	0	23	123	550
YCR048W	YEL034W	0.76515	0	43	163	1027
YMR022W	YER177W	0.76508	0	46	247	472
YHR208W	YJL200C	0.76489	0	11	109	72
YKL053C-A	YMR146C	0.76425	0	50	397	358
YML024W	YJL005W	0.76385	0	15	116	200
YOL025W	YBR231C	0.7638	0	15	65	885
YKL106W	YDR377W	0.7638	0	8	116	50
YML053C	YOL009C	0.7632	1	24	108	396
YBR139W	YHR098C	0.76299	0	14	126	382
YLR370C	YNR016C	0.76287	0	29	370	271
YNR053C	YJL002C	0.76285	0	33	397	203
YGR238C	YPR046W	0.76267	0	15	156	225
YBR035C	YCL025C	0.76239	0	19	260	272
YLR079W	YCL043C	0.76188	0	46	704	297
YPL146C	YJL008C	0.76127	0	39	246	382
YBR160W	YBL075C	0.76119	0	44	1253	133
YLR238W	YEL018W	0.76089	0	34	210	344
YGR185C	YOR046C	0.76088	0	38	218	327
YMR224C	YER025W	0.76047	0	95	582	425
YJL013C	YJR035W	0.76015	0	11	147	148
YOR312C	YPL028W	0.76011	0	23	186	255
YLR116W	YDR382W	0.75984	0	29	259	372
YOL123W	YPR151C	0.75972	0	13	317	108
YDR069C	YKL215C	0.75948	0	9	275	53
YNL110C	YDR080W	0.75899	0	36	223	567
YKL104C	YNL152W	0.75886	0	25	197	196
YNL252C	YNL052W	0.75866	0	26	498	199
YLR332W	YPR069C	0.75848	0	16	214	312
YDR531W	YDR339C	0.75844	0	32	260	257
YFL036W	YML123C	0.75831	0	18	269	208
YGR275W	YAL024C	0.75815	0	32	108	590
YMR003W	YCR079W	0.75811	0	26	192	218
YMR208W	YPL010W	0.75727	0	14	95	227
YER162C	YNR061C	0.75712	0	5	431	81
YNL229C	YPR088C	0.75705	0	20	342	264
YAR002C-A	YBR200W	0.75689	0	38	167	504
YHL025W	YBR211C	0.75684	0	53	506	289
YDR405W	YOL077C	0.75655	0	14	151	268
YMR154C	YPL060W	0.75638	0	21	383	137
YMR215W	YOR030W	0.75602	0	19	198	259
YDR236C	YKL007W	0.75598	0	15	206	140
YDR399W	YOR048C	0.75571	0	47	234	488
YKL073W	YBR258C	0.75529	0	16	371	208
YNL308C	YIL144W	0.7547	0	30	298	298
YOR058C	YML121W	0.75467	0	54	274	399
YDL115C	YKL080W	0.75464	0	32	276	151
YOR125C	YMR030W-A	0.75462	0	17	386	172
YGL194C	YDR328C	0.75453	0	16	391	145
YNL086W	YBR282W	0.75443	0	9	115	289
YFL013C	YNL241C	0.75442	0	45	490	240
YJR017C	YCR003W	0.75435	0	48	995	176
YDL061C	YKR094C	0.75425	0	40	195	374
YML041C	YLR281C	0.75425	0	53	714	244
YNL025C	YOR036W	0.75423	0	14	397	118
YLR072W	YIL046W	0.75395	0	14	90	474
YJL081C	YDR079C-A	0.75385	0	55	668	212
YLR295C	YDL015C	0.75384	0	21	145	403
YOR362C	YJL049W	0.75322	0	39	458	190
YPR141C	YIL061C	0.75322	0	15	625	85
YDR016C	YJR132W	0.75291	0	9	353	76
YGR196C	YMR292W	0.75273	0	25	212	123
YFR052W	YDR097C	0.75272	0	26	485	107
YPR061C	YBL091C-A	0.75265	0	5	177	99
YOR125C	YLR370C	0.75249	0	47	386	370
YKL089W	YCR016W	0.75237	0	23	285	187
YMR003W	YOR149C	0.75228	0	30	192	323
YOR125C	YOR168W	0.75173	0	22	386	255
YPR074C	YOR246C	0.7517	0	20	207	174
YDR105C	YNL055C	0.75167	0	24	149	424
YJR041C	YPR135W	0.75158	0	36	156	604
YDR337W	YDL081C	0.75156	0	7	120	388
YMR294W	YGR033C	0.75142	0	28	427	170
YPL042C	YPL157W	0.75139	0	84	375	494
YDR213W	YOR039W	0.75137	0	19	125	502
YER153C	YOL001W	0.75128	0	43	212	547
YKR001C	YLR274W	0.75102	0	46	498	271
YBR194W	YGR285C	0.75083	0	24	543	128
YBR127C	YGL135W	0.7506	0	33	173	173
YJL149W	YDR189W	0.75055	0	12	78	325
YLR325C	YLR418C	0.7505	0	75	173	980
YJL030W	YAL017W	0.75047	0	16	380	116
YPR104C	YEL051W	0.7504	0	55	203	406
YOR236W	YLR292C	0.75039	0	40	465	254
YLR404W	YGL235W	0.75035	0	25	264	370
YDL192W	YER156C	0.75028	0	24	371	152
YDL053C	YHR041C	0.75028	1	31	140	651
YDR245W	YPL103C	0.75026	0	32	766	136
YPL217C	YOR171C	0.75018	0	24	434	150
YJL014W	YJL130C	0.7501	0	28	260	169
YLR026C	YER021W	0.75004	0	24	488	126
YOR167C	YNL061W	0.74978	0	37	119	772
YPR185W	YLR347C	0.74969	0	34	183	607
YGR283C	YDR246W	0.74962	0	24	87	550
YJL138C	YEL015W	0.74951	0	17	337	82
YMR284W	YPR089W	0.74921	1	22	343	245
YBL061C	YBR236C	0.74904	0	38	223	340
YNL106C	YCL043C	0.74898	0	37	186	297
YDL212W	YDL161W	0.74895	0	21	256	171
YOR244W	YOR086C	0.74892	0	33	923	115
YIR022W	YLR186W	0.74887	0	40	227	431
YHR041C	YOL102C	0.74877	0	50	651	230
YKL143W	YNL175C	0.74874	0	17	145	136
YDL248W	YFL025C	0.7483	0	47	320	386
YKL173W	YOR045W	0.74827	0	28	406	155
YGL253W	YOL023W	0.74818	0	27	277	284
YNL272C	YPR066W	0.74779	0	40	374	333
YLR227C	YML115C	0.74771	0	13	181	294
YHL020C	YLL035W	0.74768	0	33	462	204
YDR231C	YIL110W	0.74764	0	11	350	146
YGL014W	YDR359C	0.74757	0	50	220	474
YLR090W	YDR027C	0.74719	0	11	152	233
YNL098C	YLL001W	0.74662	0	42	441	207
YNL147W	YDR337W	0.74645	0	22	776	120
YAL011W	YDR308C	0.74622	0	52	579	158
YJL008C	YGL115W	0.74602	0	101	382	660
YOR217W	YDR235W	0.74597	0	13	274	80
YIL109C	YBR161W	0.74586	0	15	242	181
YGR089W	YPL084W	0.74577	0	36	278	302
YJL163C	YHR007C	0.74555	0	14	112	482
YMR037C	YOL081W	0.74518	0	79	171	978
YNL100W	YIL040W	0.74477	0	24	156	496
YLR455W	YEL026W	0.74462	0	17	68	166
YOR295W	YJR136C	0.74462	0	23	167	211
YGL086W	YNL068C	0.7443	0	46	431	182
YLR373C	YIL079C	0.74426	0	18	407	147
YJR097W	YIL137C	0.74424	0	20	130	249
YGL080W	YLR320W	0.74419	0	35	131	1059
YOL091W	YKL045W	0.74411	0	8	90	233
YNL070W	YOR009W	0.74372	0	10	170	80
YJL177W	YJR011C	0.74371	0	24	221	335
YOL119C	YLR393W	0.74334	0	18	135	357
YDL248W	YHR011W	0.74324	0	15	320	117
YJL092W	YNL185C	0.74294	0	22	562	157
YMR190C	YLR172C	0.7429	0	45	555	201
YIR025W	YOR269W	0.7428	0	16	66	360
YDR137W	YPL060W	0.74263	0	21	520	137
YPR089W	YER061C	0.74258	0	33	245	493
YMR202W	YOR165W	0.74253	0	26	439	116
YNR052C	YEL027W	0.74247	0	35	255	386
YDR449C	YDL029W	0.74238	0	28	218	385
YNR052C	YML072C	0.7423	0	31	255	339
YDR478W	YNL250W	0.74228	0	46	463	324
YJR090C	YJL183W	0.74214	0	19	97	612
YDR432W	YMR044W	0.74196	1	59	1122	176
YDR016C	YGR197C	0.74195	0	27	353	227
YNL189W	YOR370C	0.74186	0	58	396	373
YGR202C	YGR229C	0.74136	0	31	113	551
YLL014W	YJR120W	0.74116	0	24	167	304
YDR060W	YER146W	0.74096	0	12	438	63
YBL020W	YML111W	0.74065	0	28	525	231
YDR400W	YPR161C	0.74059	0	24	61	1101
YER042W	YEL051W	0.74032	0	18	121	406
YMR117C	YDR197W	0.74004	0	26	545	141
YDR145W	YPL140C	0.73966	0	37	738	138
YIR029W	YGL098W	0.73962	0	14	92	287
YLR278C	YIL084C	0.73949	0	52	155	788
YLR218C	YDR316W	0.73934	0	40	271	347
YLR342W	YJR055W	0.73901	1	16	504	64
YHR118C	YOL071W	0.73894	1	15	488	99
YIL150C	YOR067C	0.73778	0	33	358	234
YCR079W	YOR069W	0.73765	0	39	218	354
YDR320C	YLR066W	0.73764	0	27	380	119
YIL048W	YLR135W	0.73743	0	36	493	277
YML106W	YDR164C	0.73713	0	19	163	304
YKR081C	YLR272C	0.73711	0	27	440	233
YFR040W	YMR109W	0.73706	0	42	338	236
YLR275W	YCR037C	0.73664	0	17	717	80
YLR024C	YGR086C	0.73653	0	32	437	254
YBR107C	YER107C	0.7362	0	39	189	308
YJL117W	YGR284C	0.73614	0	57	269	287
YMR179W	YOR020C	0.73544	0	77	435	499
YDR484W	YIL146C	0.7353	0	37	420	237
YDR375C	YER009W	0.73514	0	19	214	402
YBR218C	YKL117W	0.73501	0	23	216	375
YPR088C	YIL038C	0.73406	0	18	264	246
YLL024C	YLR264W	0.73405	0	30	442	162
YMR095C	YOR072W-B	0.7337	0	5	51	111
YJL138C	YIL147C	0.73351	0	22	337	165
YLL026W	YNL241C	0.73315	0	45	449	240
YML063W	YDL017W	0.73278	0	37	230	448
YLR371W	YML052W	0.73237	1	47	793	132
YHL015W-A	YML003W	0.73234	0	6	49	76
YLR288C	YMR033W	0.7322	0	28	164	325
YOL008W	YPL094C	0.73219	0	40	215	463
YPL066W	YPL152W	0.73214	0	13	194	220
YLR383W	YOL097C	0.73153	0	23	198	229
YKL144C	YOR075W	0.73146	0	24	463	157
YGR181W	YDL207W	0.73143	0	30	172	448
YAR003W	YHR006W	0.73118	0	31	546	104
YPL167C	YDL035C	0.73115	0	17	134	675
YBR142W	YCL050C	0.73105	0	13	354	61
YMR154C	YDR518W	0.73009	0	20	383	153
YMR293C	YKR058W	0.72988	0	10	311	62
YER161C	YNL056W	0.72987	0	48	296	315
YML123C	YAL015C	0.72966	0	6	208	102
YFL009W	YPR022C	0.72949	0	26	598	136
YPR031W	YDL007W	0.72941	0	25	156	333
YGL124C	YPL011C	0.7294	0	46	425	259
YBR110W	YLL045C	0.7293	0	28	359	338
YDR145W	YOR128C	0.72924	0	25	738	91
YDR123C	YOL123W	0.72916	0	52	497	317
YDR479C	YJL062W-A	0.7288	0	11	161	194
YOR312C	YKL060C	0.72865	0	23	186	110
YLR005W	YGR048W	0.72839	0	36	465	170
YJL102W	YDR043C	0.72809	0	27	292	236
YBR068C	YDL142C	0.7275	0	19	91	535
YDR144C	YER167W	0.72731	0	15	106	242
YGL135W	YDL035C	0.72727	0	23	173	675
YDR231C	YGL211W	0.72667	0	30	350	310
YCL069W	YDL168W	0.72645	0	1	28	159
YFR021W	YLR242C	0.72625	0	42	193	509
YPL001W	YNL002C	0.72617	0	26	162	403
YLR429W	YAL048C	0.72602	0	15	176	333
